freq,psd_x,psd_y,psd_z,psd_xyz,zv(107.8),mzv(28.6),ei(36.6),2hump_ei(39.0),3hump_ei(85.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.998,0.984,0.984,0.977,0.987
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.960,0.959,0.941,0.971
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.926,0.926,0.894,0.951
6.2,2.008e+02,3.114e+00,6.903e+00,2.108e+02,0.988,0.885,0.885,0.837,0.927
7.8,2.594e+02,2.512e+00,5.844e+00,2.678e+02,0.984,0.837,0.838,0.772,0.899
9.4,3.096e+02,2.156e+00,4.657e+00,3.164e+02,0.979,0.783,0.785,0.700,0.869
10.9,3.545e+02,1.818e+00,3.899e+00,3.602e+02,0.974,0.723,0.727,0.624,0.835
12.5,4.037e+02,1.740e+00,3.289e+00,4.087e+02,0.968,0.659,0.665,0.546,0.799
14.1,4.668e+02,1.694e+00,2.977e+00,4.715e+02,0.962,0.591,0.600,0.467,0.761
15.6,4.853e+02,1.511e+00,2.875e+00,4.896e+02,0.956,0.521,0.534,0.390,0.721
17.2,3.732e+02,1.416e+00,2.656e+00,3.773e+02,0.949,0.451,0.467,0.317,0.680
18.7,3.944e+02,1.191e+00,2.496e+00,3.981e+02,0.941,0.380,0.401,0.248,0.637
20.3,4.437e+02,9.795e-01,2.378e+00,4.470e+02,0.933,0.311,0.336,0.186,0.594
21.9,4.823e+02,1.481e+00,2.217e+00,4.860e+02,0.925,0.243,0.274,0.132,0.550
23.4,5.223e+02,5.422e+00,2.176e+00,5.299e+02,0.916,0.180,0.216,0.086,0.506
25.0,5.866e+02,7.359e+00,1.877e+00,5.959e+02,0.906,0.120,0.163,0.051,0.463
26.5,6.908e+02,9.565e+00,2.287e+00,7.026e+02,0.897,0.067,0.115,0.031,0.420
28.1,5.630e+02,1.086e+01,3.806e+00,5.777e+02,0.887,0.037,0.074,0.028,0.378
29.7,3.360e+02,6.123e+00,4.420e+00,3.466e+02,0.876,0.041,0.041,0.034,0.338
31.2,3.230e+02,2.631e+00,4.598e+00,3.302e+02,0.865,0.067,0.021,0.038,0.299
32.8,3.612e+02,1.431e+00,6.131e+00,3.688e+02,0.854,0.095,0.024,0.037,0.262
34.4,3.518e+02,9.628e-01,9.862e+00,3.626e+02,0.842,0.115,0.034,0.032,0.226
35.9,3.360e+02,6.179e-01,8.791e+00,3.454e+02,0.830,0.128,0.040,0.024,0.193
