freq,psd_x,psd_y,psd_z,psd_xyz,zv(70.4),mzv(55.8),ei(69.0),2hump_ei(65.4),3hump_ei(57.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.993,0.993,0.988,0.980
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.992,0.984,0.983,0.971,0.951
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.986,0.972,0.970,0.949,0.915
6.2,2.400e+00,2.360e+02,7.585e+00,2.459e+02,0.979,0.958,0.955,0.924,0.871
7.8,2.139e+00,3.164e+02,6.267e+00,3.248e+02,0.970,0.942,0.938,0.895,0.821
9.4,1.967e+00,3.830e+02,5.403e+00,3.904e+02,0.961,0.924,0.919,0.862,0.766
10.9,2.031e+00,4.611e+02,4.789e+00,4.679e+02,0.951,0.903,0.898,0.826,0.706
12.5,1.874e+00,4.806e+02,5.493e+00,4.880e+02,0.939,0.881,0.874,0.787,0.644
14.1,1.987e+00,5.111e+02,4.981e+00,5.181e+02,0.927,0.857,0.849,0.746,0.580
15.6,2.541e+00,6.682e+02,4.081e+00,6.748e+02,0.913,0.831,0.823,0.703,0.515
17.2,2.248e+00,8.559e+02,3.141e+00,8.613e+02,0.898,0.803,0.794,0.658,0.451
18.7,2.983e+00,1.137e+03,2.907e+00,1.143e+03,0.883,0.774,0.764,0.612,0.388
20.3,4.528e+00,1.381e+03,7.923e+00,1.393e+03,0.866,0.744,0.733,0.566,0.328
21.9,3.703e+00,8.480e+02,1.936e+01,8.711e+02,0.848,0.712,0.701,0.519,0.271
23.4,1.822e+00,4.164e+02,2.041e+01,4.386e+02,0.830,0.679,0.668,0.472,0.219
25.0,2.274e+00,5.184e+02,1.645e+01,5.372e+02,0.811,0.645,0.634,0.426,0.172
26.5,1.504e+01,7.510e+02,1.155e+01,7.776e+02,0.790,0.611,0.599,0.380,0.131
28.1,4.943e+01,9.401e+02,1.151e+01,1.001e+03,0.769,0.576,0.564,0.336,0.096
29.7,6.954e+01,1.121e+03,2.368e+01,1.214e+03,0.747,0.540,0.529,0.294,0.068
31.2,7.474e+01,1.260e+03,5.583e+01,1.391e+03,0.725,0.504,0.493,0.253,0.048
32.8,5.745e+01,9.734e+02,9.895e+01,1.130e+03,0.701,0.467,0.458,0.215,0.039
34.3,2.633e+01,5.954e+02,1.256e+02,7.473e+02,0.677,0.431,0.423,0.180,0.037
35.9,1.399e+01,5.485e+02,1.170e+02,6.795e+02,0.652,0.395,0.388,0.147,0.039
37.5,1.152e+01,5.822e+02,5.236e+01,6.461e+02,0.627,0.359,0.354,0.117,0.040
39.0,7.268e+00,7.289e+02,1.426e+01,7.504e+02,0.601,0.324,0.320,0.090,0.039
40.6,4.597e+00,9.454e+02,1.317e+01,9.632e+02,0.574,0.289,0.287,0.067,0.037
42.2,5.391e+00,1.271e+03,2.637e+01,1.303e+03,0.547,0.254,0.255,0.049,0.032
43.7,1.109e+01,2.000e+03,4.910e+01,2.060e+03,0.519,0.221,0.225,0.035,0.026
45.3,1.985e+01,2.608e+03,6.322e+01,2.691e+03,0.491,0.188,0.195,0.028,0.019
46.8,3.374e+01,2.288e+03,5.469e+01,2.376e+03,0.462,0.157,0.168,0.028,0.014
48.4,3.393e+01,1.696e+03,5.967e+01,1.790e+03,0.433,0.127,0.141,0.031,0.012
50.0,3.099e+01,1.896e+03,9.765e+01,2.025e+03,0.404,0.098,0.116,0.035,0.015
51.5,2.666e+01,2.238e+03,1.647e+02,2.429e+03,0.374,0.071,0.094,0.037,0.020
53.1,2.507e+01,2.427e+03,2.272e+02,2.679e+03,0.344,0.051,0.073,0.038,0.024
54.6,2.453e+01,2.562e+03,2.919e+02,2.879e+03,0.314,0.038,0.054,0.038,0.028
56.2,2.195e+01,2.679e+03,4.032e+02,3.104e+03,0.283,0.035,0.038,0.035,0.030
57.8,1.655e+01,2.566e+03,5.505e+02,3.133e+03,0.253,0.040,0.026,0.032,0.030
59.3,1.598e+01,2.061e+03,5.770e+02,2.654e+03,0.222,0.051,0.020,0.027,0.028
60.9,2.145e+01,1.672e+03,4.543e+02,2.147e+03,0.192,0.067,0.022,0.021,0.025
62.5,2.054e+01,1.582e+03,4.379e+02,2.041e+03,0.161,0.082,0.027,0.015,0.021
64.0,1.757e+01,1.538e+03,3.906e+02,1.946e+03,0.131,0.095,0.032,0.012,0.015
65.6,1.439e+01,1.520e+03,3.294e+02,1.863e+03,0.105,0.106,0.036,0.011,0.013
67.1,1.217e+01,1.429e+03,3.564e+02,1.797e+03,0.084,0.116,0.039,0.012,0.012
68.7,1.071e+01,1.216e+03,4.353e+02,1.662e+03,0.069,0.123,0.040,0.016,0.013
70.3,8.618e+00,9.506e+02,4.928e+02,1.452e+03,0.062,0.128,0.039,0.021,0.014
